input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/dracula.txt, 0.00251578, 0.00299265, 0.00311753, 0.00313502, 0.0101737, 0.00404915, 0.00642713
datasets/dracula.txt, 0.00262648, 0.0031306, 0.0031783, 0.0032006, 0.0104144, 0.0040276, 0.00659139
datasets/dracula.txt, 0.0025412, 0.00314837, 0.00317604, 0.00328355, 0.0104601, 0.00407346, 0.00643593
datasets/dracula.txt, 0.00261718, 0.00303204, 0.00326412, 0.00319929, 0.0103783, 0.00412706, 0.00645013
datasets/dracula.txt, 0.0025128, 0.00318464, 0.00319012, 0.00328198, 0.0103104, 0.0041231, 0.00650455
datasets/dracula.txt, 0.00246662, 0.00308552, 0.00316803, 0.00327254, 0.0104901, 0.00407466, 0.00653766
datasets/dracula.txt, 0.00256555, 0.00309093, 0.00330275, 0.00322257, 0.0104706, 0.00417345, 0.00636861
datasets/dracula.txt, 0.00251305, 0.00307393, 0.00320762, 0.00318755, 0.0102785, 0.00406484, 0.00661872
datasets/dracula.txt, 0.00251272, 0.00307796, 0.00327591, 0.00328542, 0.0103846, 0.00410646, 0.00665261
datasets/dracula.txt, 0.00247176, 0.00310976, 0.00317156, 0.0031838, 0.0103737, 0.00406395, 0.00643484
datasets/dracula.txt, 0.00252644, 0.00312869, 0.00312177, 0.00324953, 0.010543, 0.00397256, 0.00678627
datasets/dracula.txt, 0.00255838, 0.00313569, 0.00326474, 0.0032803, 0.0103776, 0.00427287, 0.00640444
datasets/iliad.txt, 0.00273824, 0.00321937, 0.00339047, 0.00362455, 0.0111401, 0.00413477, 0.00653121
datasets/iliad.txt, 0.00286908, 0.00313738, 0.00323181, 0.00344375, 0.0106635, 0.004135, 0.0065885
datasets/iliad.txt, 0.00252532, 0.00300433, 0.00318666, 0.00323255, 0.0105655, 0.004199, 0.00648246
datasets/iliad.txt, 0.0025513, 0.00316298, 0.00331973, 0.00323605, 0.0105983, 0.00421014, 0.00652124
datasets/iliad.txt, 0.00250539, 0.0032958, 0.00336239, 0.0033588, 0.0105656, 0.00408466, 0.00660399
datasets/iliad.txt, 0.00260097, 0.00305461, 0.00320167, 0.0032921, 0.0107242, 0.00413306, 0.007653
datasets/iliad.txt, 0.00306008, 0.00314989, 0.00321424, 0.00319624, 0.0106806, 0.0042273, 0.00668715
datasets/iliad.txt, 0.00249172, 0.00317172, 0.0031665, 0.0031841, 0.0103258, 0.00413898, 0.00659401
datasets/iliad.txt, 0.00250195, 0.00311162, 0.00325729, 0.00322831, 0.0104415, 0.00420119, 0.00636623
datasets/iliad.txt, 0.00254971, 0.00307104, 0.00317094, 0.00329193, 0.0104158, 0.00429285, 0.00741248
datasets/iliad.txt, 0.00261545, 0.0031422, 0.00318803, 0.00324235, 0.0106409, 0.00426383, 0.00672981
datasets/iliad.txt, 0.00293256, 0.00316956, 0.00335463, 0.00351495, 0.0108339, 0.00424635, 0.00669613
datasets/iliad.txt, 0.00265447, 0.00319689, 0.00322713, 0.003338, 0.0105675, 0.00418271, 0.00665478
datasets/iliad.txt, 0.00283211, 0.00332022, 0.00316309, 0.00333937, 0.0106137, 0.00418223, 0.00689839
datasets/iliad.txt, 0.00291733, 0.00312995, 0.00320972, 0.0032553, 0.0105616, 0.00421221, 0.00655904
datasets/iliad.txt, 0.00256014, 0.00323086, 0.00331499, 0.00333791, 0.0105484, 0.00413504, 0.00651615
datasets/iliad.txt, 0.00260538, 0.00307232, 0.00312484, 0.00324088, 0.01091, 0.00406801, 0.00665521
datasets/iliad.txt, 0.00256055, 0.00308845, 0.00321173, 0.00318179, 0.0104892, 0.00406321, 0.00653931
datasets/iliad.txt, 0.00256203, 0.00309195, 0.00330537, 0.00322065, 0.0102619, 0.00405951, 0.00741808
datasets/iliad.txt, 0.00255841, 0.00312857, 0.00319127, 0.00326452, 0.0104656, 0.00419722, 0.00646241
datasets/iliad.txt, 0.00253159, 0.00309, 0.00318796, 0.00323633, 0.0105576, 0.00414213, 0.00661025
datasets/iliad.txt, 0.00253567, 0.0032646, 0.00317347, 0.00320494, 0.0104488, 0.00414752, 0.00646739
datasets/iliad.txt, 0.00260845, 0.00325941, 0.00327189, 0.00324406, 0.0103941, 0.0040983, 0.0063965
datasets/iliad.txt, 0.00254474, 0.00301626, 0.00321425, 0.0031436, 0.0104449, 0.00408336, 0.0066948
datasets/iliad.txt, 0.00250246, 0.00310557, 0.00336558, 0.00328045, 0.0104679, 0.00401818, 0.00657174
datasets/iliad.txt, 0.00258958, 0.00305828, 0.00320006, 0.00331654, 0.0103376, 0.00409991, 0.00658017
datasets/iliad.txt, 0.00275002, 0.00304092, 0.00310425, 0.00351919, 0.0102663, 0.00468415, 0.00662465
datasets/iliad.txt, 0.00255399, 0.00309589, 0.00327651, 0.00322287, 0.0103974, 0.00407306, 0.00643072
datasets/iliad.txt, 0.00252179, 0.00306132, 0.00352232, 0.00335724, 0.0104818, 0.00404788, 0.00647971
